metric,mean,std,n
average_accuracy_ak,0.59465,0.059436200622553705,3.0
average_forgetting,0.4628111111111111,0.1427953677016066,3.0
average_macro_f1_final,0.35262730056120617,0.03820800182517501,3.0
bwt,-0.4628111111111111,0.1427953677016066,3.0
ewc_lambda,5.0,0.0,3.0
num_classes_union,13.0,0.0,3.0
num_features,39.0,0.0,3.0
num_tasks,2.0,0.0,3.0
phase1_latency_ms_per_sample,0.024536783856395534,0.0013276466009296997,3.0
phase1_latency_ms_per_sample_after_final,0.024536783856395534,0.0013276466009296997,3.0
phase1_test_acc_after_final,0.33726666666666666,0.149985910449393,3.0
phase1_test_acc_after_phase2,0.33726666666666666,0.149985910449393,3.0
phase1_test_acc_before_phase2,0.8000777777777778,0.009201529663493373,3.0
phase1_test_macro_f1_after_final,0.2594567875308395,0.12712939417360258,3.0
phase1_test_macro_f1_after_phase2,0.2594567875308395,0.12712939417360258,3.0
phase2_latency_ms_per_sample,0.02542666015491098,0.0024182364189900335,3.0
phase2_latency_ms_per_sample_after_final,0.02542666015491098,0.0024182364189900335,3.0
phase2_test_acc_after_final,0.8520333333333333,0.11929895687352475,3.0
phase2_test_acc_after_phase2,0.8520333333333333,0.11929895687352475,3.0
phase2_test_macro_f1_after_final,0.44579781359157294,0.07296336676649066,3.0
phase2_test_macro_f1_after_phase2,0.44579781359157294,0.07296336676649066,3.0
replay_buffer_size,0.0,0.0,3.0
seed,43.0,1.0,3.0
