metric,mean,std,n
average_accuracy_ak,0.6322888888888888,0.057824104290832214,3.0
average_forgetting,0.4494222222222222,0.04771142808982319,3.0
average_macro_f1_final,0.38709198439084264,0.042230685765662884,3.0
bwt,-0.4494222222222222,0.04771142808982319,3.0
ewc_lambda,0.0,0.0,3.0
num_classes_union,13.0,0.0,3.0
num_features,39.0,0.0,3.0
num_tasks,2.0,0.0,3.0
phase1_latency_ms_per_sample,0.02504185547043865,0.0008731349985449969,3.0
phase1_latency_ms_per_sample_after_final,0.02504185547043865,0.0008731349985449969,3.0
phase1_test_acc_after_final,0.35065555555555555,0.05342673418735161,3.0
phase1_test_acc_after_phase2,0.35065555555555555,0.05342673418735161,3.0
phase1_test_acc_before_phase2,0.8000777777777778,0.009201529663493373,3.0
phase1_test_macro_f1_after_final,0.2917378645144442,0.023244093205352104,3.0
phase1_test_macro_f1_after_phase2,0.2917378645144442,0.023244093205352104,3.0
phase2_latency_ms_per_sample,0.025251582030705322,0.0018165656786583559,3.0
phase2_latency_ms_per_sample_after_final,0.025251582030705322,0.0018165656786583559,3.0
phase2_test_acc_after_final,0.9139222222222222,0.09901212234050118,3.0
phase2_test_acc_after_phase2,0.9139222222222222,0.09901212234050118,3.0
phase2_test_macro_f1_after_final,0.48244610426724105,0.0681521504422308,3.0
phase2_test_macro_f1_after_phase2,0.48244610426724105,0.0681521504422308,3.0
replay_buffer_size,0.0,0.0,3.0
seed,43.0,1.0,3.0
