metric,mean,std,n
average_accuracy_ak,0.8240000000000001,0.021213203435596368,2.0
average_forgetting,0.02683333333333334,0.022863119258365032,2.0
average_macro_f1_final,0.7222363451024523,0.01725992112788298,2.0
bwt,0.056499999999999995,0.023805928299947095,2.0
ewc_lambda,1.0,0.0,2.0
num_classes_union,14.0,0.0,2.0
num_features,39.0,0.0,2.0
num_tasks,4.0,0.0,2.0
replay_buffer_size,1000.0,0.0,2.0
seed,42.5,0.7071067811865476,2.0
task1_flood_ddos_latency_ms_per_sample_after_final,0.09496064451468555,0.01048122837023974,2.0
task1_flood_ddos_test_acc_after_final,0.9724999999999999,0.010606601717798222,2.0
task1_flood_ddos_test_macro_f1_after_final,0.9655268514786144,0.009255474126056944,2.0
task2_flood_dos_latency_ms_per_sample_after_final,0.12359392578673578,0.017919273531963667,2.0
task2_flood_dos_test_acc_after_final,0.972,0.004242640687119289,2.0
task2_flood_dos_test_macro_f1_after_final,0.9640816844777841,0.0072750153818221365,2.0
task3_mirai_latency_ms_per_sample_after_final,0.11692857419802749,0.018101740233845382,2.0
task3_mirai_test_acc_after_final,0.7050000000000001,0.06929646455628163,2.0
task3_mirai_test_macro_f1_after_final,0.6576164209861903,0.0822592155546784,2.0
task4_recon_latency_ms_per_sample_after_final,0.09309535155352933,0.009271330013590977,2.0
task4_recon_test_acc_after_final,0.6465000000000001,0.03040559159102157,2.0
task4_recon_test_macro_f1_after_final,0.3017204234672204,0.003310958464732713,2.0
