metric,mean,std,n
average_accuracy_ak,0.839,0.0,1.0
average_forgetting,0.010666666666666677,0.0,1.0
average_macro_f1_final,0.7344409523747233,0.0,1.0
bwt,0.07333333333333332,0.0,1.0
ewc_lambda,1.0,0.0,1.0
num_classes_union,14.0,0.0,1.0
num_features,39.0,0.0,1.0
num_tasks,4.0,0.0,1.0
replay_buffer_size,1000.0,0.0,1.0
seed,42.0,0.0,1.0
task1_flood_ddos_latency_ms_per_sample_after_final,0.08666488279231999,0.0,1.0
task1_flood_ddos_test_acc_after_final,0.965,0.0,1.0
task1_flood_ddos_test_macro_f1_after_final,0.9589822429609829,0.0,1.0
task2_flood_dos_latency_ms_per_sample_after_final,0.1143126562510588,0.0,1.0
task2_flood_dos_test_acc_after_final,0.969,0.0,1.0
task2_flood_dos_test_macro_f1_after_final,0.9589374717680612,0.0,1.0
task3_mirai_latency_ms_per_sample_after_final,0.07599070313517586,0.0,1.0
task3_mirai_test_acc_after_final,0.754,0.0,1.0
task3_mirai_test_macro_f1_after_final,0.7157824701199893,0.0,1.0
task4_recon_latency_ms_per_sample_after_final,0.15299316405616992,0.0,1.0
task4_recon_test_acc_after_final,0.668,0.0,1.0
task4_recon_test_macro_f1_after_final,0.3040616246498599,0.0,1.0
